date,mvrv_zscore_raw,mvrv_zscore,mvrv_zscore_sell,ma_200w_raw,ma_200w,ma_200w_sell,monthly_rsi_raw,monthly_rsi,monthly_rsi_sell,eth_btc_ratio_raw,eth_btc_ratio,eth_btc_ratio_sell,mayer_multiple_raw,mayer_multiple,mayer_multiple_sell,fear_greed_raw,fear_greed,fear_greed_sell
2015-12-05,1.523727437927359,50,0,,50,0,2.2259972034516267,100,0,-1.7461019070819135,100,0,,50,0,,50,0
2015-12-06,1.3465138149274816,50,0,,50,0,2.2259972034516267,100,0,-1.7519784601012558,100,0,,50,0,,50,0
2015-12-07,1.202431068444053,50,0,,50,0,2.2259972034516267,100,0,-1.7562506855428603,100,0,,50,0,,50,0
2015-12-08,1.22058395972269,50,0,,50,0,2.2259972034516267,100,0,-1.7595954390303221,100,0,,50,0,,50,0
2015-12-09,1.2601430631319692,50,0,,50,0,2.2259972034516267,100,0,-1.7592725446355166,100,0,,50,0,,50,0
2015-12-10,1.411952281197755,50,0,,50,0,2.2259972034516267,100,0,-1.754899696736289,100,0,,50,0,,50,0
2015-12-11,1.6164578509248213,50,0,,50,0,2.2259972034516267,100,0,-1.7569195013550893,100,0,,50,0,,50,0
2015-12-12,1.8388939590157016,50,0,,50,0,2.2259972034516267,100,0,-1.7474632843595588,100,0,,50,0,,50,0
2015-12-13,1.6827885649885062,50,0,,50,0,2.2259972034516267,100,0,-1.7511102550309254,100,0,,50,0,,50,0
2015-12-14,1.9017324981686008,50,0,,50,0,2.2259972034516267,100,0,-1.7460775954158056,100,0,,50,0,,50,0
2015-12-15,1.909063406390658,50,0,,50,0,2.2259972034516267,100,0,-1.7496232875642033,100,0,,50,0,,50,0
2015-12-16,1.3019391028689489,50,0,,50,0,2.2259972034516267,100,0,-1.7600668771766443,100,0,,50,0,,50,0
2015-12-17,1.5500122304576427,50,0,,50,0,2.2259972034516267,100,0,-1.7535768185940603,100,0,,50,0,,50,0
2015-12-18,1.4032136363205399,50,0,,50,0,2.2259972034516267,100,0,-1.7586144419563052,100,0,,50,0,,50,0
2015-12-19,1.3752355170237969,50,0,,50,0,2.2259972034516267,100,0,-1.75889653063552,100,0,,50,0,,50,0
2015-12-20,1.6063565897079561,50,0,,50,0,2.2259972034516267,100,0,-1.7488117217649453,100,0,,50,0,,50,0
2015-12-21,1.4225397589345345,50,0,,50,0,2.2259972034516267,100,0,-1.7527595554140079,100,0,,50,0,,50,0
2015-12-22,1.3144761048208151,50,0,,50,0,2.2259972034516267,100,0,-1.7552348288433248,100,0,,50,0,,50,0
2015-12-23,1.2828951670053144,50,0,,50,0,2.2259972034516267,100,0,-1.7575674902140062,100,0,,50,0,,50,0
2015-12-24,1.2773703261780653,50,0,,50,0,2.2259972034516267,100,0,-1.7601060009705078,100,0,,50,0,,50,0
2015-12-25,1.2616516458408742,50,0,,50,0,2.2259972034516267,100,0,-1.7604615465035078,100,0,,50,0,,50,0
2015-12-26,1.2127608017499591,50,0,,50,0,2.2259972034516267,100,0,-1.7544677531639958,100,0,,50,0,,50,0
2015-12-27,1.2679208429588178,50,0,,50,0,2.2259972034516267,100,0,-1.7537780125016391,100,0,,50,0,,50,0
2015-12-28,1.1782648680996501,50,0,,50,0,2.2259972034516267,100,0,-1.7561345153919299,100,0,,50,0,,50,0
2015-12-29,1.2374097121211851,50,0,,50,0,2.2259972034516267,100,0,-1.7564362792766635,100,0,,50,0,,50,0
2015-12-30,1.3701670875251892,50,0,,50,0,2.2259972034516267,100,0,-1.751687365523701,100,0,,50,0,,50,0
2015-12-31,1.5439497789225296,50,0,,50,0,3.2050811904360472,100,0,-1.7472183517475108,100,0,,50,0,,50,0
2016-01-01,1.4418074056196313,50,0,,50,0,3.2050811904360472,100,0,-1.7511252243127386,100,0,,50,0,,50,0
2016-01-02,1.5456873321925324,50,0,,50,0,3.2050811904360472,100,0,-1.7481450569077646,100,0,,50,0,,50,0
2016-01-03,1.5656246331145347,50,0,,50,0,3.2050811904360472,100,0,-1.7464980068673288,100,0,,50,0,,50,0
2016-01-04,1.538629466336892,50,0,,50,0,3.2050811904360472,100,0,-1.7479292137177178,100,0,,50,0,,50,0
2016-01-05,1.5131697997592353,50,0,,50,0,3.2050811904360472,100,0,-1.7484945859194485,100,0,,50,0,,50,0
2016-01-06,1.547847658521672,50,0,,50,0,3.2050811904360472,100,0,-1.7473231193678014,100,0,,50,0,,50,0
2016-01-07,1.5139799027953846,50,0,,50,0,3.2050811904360472,100,0,-1.7541542140627,100,0,,50,0,,50,0
2016-01-08,1.6690861525559708,50,0,,50,0,3.2050811904360472,100,0,-1.7489074765084485,100,0,,50,0,,50,0
2016-01-09,1.6128962680772654,50,0,,50,0,3.2050811904360472,100,0,-1.7494603583272657,100,0,,50,0,,50,0
2016-01-10,1.7145850318082572,50,0,,50,0,3.2050811904360472,100,0,-1.746316094132014,100,0,,50,0,,50,0
2016-01-11,1.950593674577776,50,0,,50,0,3.2050811904360472,100,0,-1.7396259357852562,100,0,,50,0,,50,0
2016-01-12,2.251452758477177,50,0,,50,0,3.2050811904360472,100,0,-1.7275748945803902,100,0,,50,0,,50,0
2016-01-13,2.1209691719557098,50,0,,50,0,3.2050811904360472,100,0,-1.729047530414141,100,0,,50,0,,50,0
2016-01-14,2.209724579694722,50,0,,50,0,3.2050811904360472,100,0,-1.7255442919790642,100,0,,50,0,,50,0
2016-01-15,2.5656980344493423,50,0,,50,0,3.2050811904360472,100,0,-1.6912908575560184,100,0,,50,0,,50,0
2016-01-16,2.2961703945065475,50,0,,50,0,3.2050811904360472,100,0,-1.7079213137944944,100,0,,50,0,,50,0
