date,mvrv_zscore_raw,mvrv_zscore,ma_200w_ratio_raw,ma_200w,monthly_rsi_raw,monthly_rsi,pi_cycle_ratio_raw,pi_cycle,puell_raw,puell,fear_greed_raw,fear_greed
2011-04-26,1.029750011200452,50,4.384027962283768,0,83.11694597350774,0,,50,,50,,50
2011-04-27,1.1322781532649184,50,4.650863722323328,0,83.11694597350774,0,,50,,50,,50
2011-04-28,1.4437754230082265,50,5.497307170790262,0,83.11694597350774,0,,50,,50,,50
2011-04-29,1.3399437242514798,50,6.718263900516725,0,83.11694597350774,0,,50,,50,,50
2011-04-30,1.5280307796041028,0,8.045542257879132,0,96.30146066694496,0,,50,,50,,50
2011-05-01,1.213277330916442,50,6.964951762668744,0,96.30146066694496,0,,50,,50,,50
2011-05-02,1.2488265509815029,50,7.051684268689554,0,96.30146066694496,0,,50,,50,,50
2011-05-03,1.280711133254998,50,7.245519162937935,0,96.30146066694496,0,,50,,50,,50
2011-05-04,1.1630702814728178,50,7.1922719396752965,0,96.30146066694496,0,,50,,50,,50
2011-05-05,1.0954606467850823,50,6.9119229558919,0,96.30146066694496,0,,50,,50,,50
2011-05-06,1.0789914262989864,50,6.995431216435316,0,96.30146066694496,0,,50,,50,,50
2011-05-07,1.1486953766518604,50,7.215996055133282,0,96.30146066694496,0,,50,,50,,50
2011-05-08,1.195553988085394,50,7.459444885143741,0,96.30146066694496,0,,50,,50,,50
2011-05-09,1.1357415298834104,50,7.2176429545479435,0,96.30146066694496,0,,50,,50,,50
2011-05-10,1.7476283162884239,0,10.383198534092209,0,96.30146066694496,0,,50,,50,,50
2011-05-11,1.5403372274124447,0,9.701082101799738,0,96.30146066694496,0,,50,,50,,50
2011-05-12,1.727856053372447,0,10.921300155688554,0,96.30146066694496,0,,50,,50,,50
2011-05-13,1.963007855426131,0,13.447512115216654,0,96.30146066694496,0,,50,,50,,50
2011-05-14,1.5149511349718878,0,11.184501122855696,0,96.30146066694496,0,,50,,50,,50
2011-05-15,1.3842333594538136,50,10.697021808398736,0,96.30146066694496,0,,50,,50,,50
2011-05-16,1.4899440054026214,50,11.746837818452411,0,96.30146066694496,0,,50,,50,,50
2011-05-17,1.2505415712664119,50,10.473347204639747,0,96.30146066694496,0,,50,,50,,50
2011-05-18,1.0685441454557947,50,9.48785555841736,0,96.30146066694496,0,,50,,50,,50
2011-05-19,1.075111310549692,50,9.399788439719808,0,96.30146066694496,0,,50,,50,,50
2011-05-20,0.7048177826382107,50,7.501568889295362,0,96.30146066694496,0,,50,,50,,50
2011-05-21,0.8506253490870985,50,7.941042231580108,0,96.30146066694496,0,,50,,50,,50
2011-05-22,0.9631455267067704,50,8.544940797656155,0,96.30146066694496,0,,50,,50,,50
2011-05-23,1.0186247284097614,50,8.76858836697374,0,96.30146066694496,0,,50,,50,,50
2011-05-24,1.064356223748254,50,8.951675019407453,0,96.30146066694496,0,,50,,50,,50
2011-05-25,1.3041659935002583,50,10.060528454017309,0,96.30146066694496,0,,50,,50,,50
2011-05-26,1.2992206529235195,50,10.012604437286855,0,96.30146066694496,0,,50,,50,,50
2011-05-27,1.1249556211252796,50,9.460750695811258,0,96.30146066694496,0,,50,,50,,50
2011-05-28,1.068821324096728,50,9.025048840760343,0,96.30146066694496,0,,50,,50,,50
2011-05-29,1.0610452173237743,50,8.854484964199452,0,96.30146066694496,0,,50,,50,,50
2011-05-30,1.1091126609517137,50,9.018499058012221,0,96.30146066694496,0,,50,,50,,50
2011-05-31,1.0652020575554502,50,8.740397725643529,0,98.58684057590216,0,,50,,50,,50
2011-06-01,1.217432451833602,50,9.390084641007473,0,98.58684057590216,0,,50,,50,,50
2011-06-02,1.3593900675819837,50,10.143541520688638,0,98.58684057590216,0,,50,,50,,50
2011-06-03,1.806057959020925,0,13.01184476233127,0,98.58684057590216,0,,50,,50,,50
2011-06-04,2.338919705787862,0,15.927598140782024,0,98.58684057590216,0,,50,,50,,50
2011-06-05,1.8653822332749805,0,13.815971501321641,0,98.58684057590216,0,,50,,50,,50
2011-06-06,1.6418675628644348,0,14.715698434354868,0,98.58684057590216,0,,50,,50,,50
2011-06-07,2.127303673136377,0,17.62900779274764,0,98.58684057590216,0,,50,,50,,50
