date,price,market_cap,mvrv,miner_revenue,fear_greed
2011-04-10,0.733156820572765,4315874.255665696,2.31383197,6818.55304069171,
2011-04-11,0.770113933372297,4539706.1201396845,2.42399078,6425.37219572639,
2011-04-12,0.861381607831677,5084735.631030389,2.6961135,6605.3033784414,
2011-04-13,0.930320058445353,5500703.409569839,2.89135449,8927.7357519908,
2011-04-14,0.998629766218586,5912587.256850382,3.07319764,8033.199669,
2011-04-15,0.983673136762127,5830722.518157508,2.99333242,6862.4500426104,
2011-04-16,1.04663285797779,6212969.639884857,3.15615233,9541.51216547841,
2011-04-17,1.09812209789597,6528500.590306225,3.27386129,10030.378925,
2011-04-18,1.14943331151373,6842059.258451054,3.37473832,8328.6354764289,
2011-04-19,1.18516222092344,7063863.127258933,3.42498343,9246.781538556,
2011-04-20,1.14212598480421,6815579.708019882,3.28485981,8576.50243884211,
2011-04-21,1.20733887200468,7213608.292453562,3.43905824,8824.04848056,
2011-04-22,1.40450508182349,8403996.607599033,3.90431563,10830.5067,
2011-04-23,1.82885230099357,10958848.75801367,4.86099744,11875.274256,
2011-04-24,1.63198421975453,9792394.913793106,4.27543628,13706.240001729,
2011-04-25,1.56448363530099,9402390.199795421,4.06113168,18349.4680725888,
2011-04-26,1.77084089012274,10659842.364227353,4.51459705,16681.2532803369,
2011-04-27,1.9031759585038,11473867.218627708,4.76744161,16303.3967884954,
2011-04-28,2.28574446580947,13799039.34009177,5.53562475,17398.05666,
2011-04-29,2.85060509000585,17237608.979265373,5.27956549,26619.7413945274,
2011-04-30,3.5,21197575.0,5.74340681,28854.034934296,
2011-05-01,3.0942275534775,18767727.802862428,4.96719361,38342.7418479048,
2011-05-02,3.2,19440800.0,5.05486151,38926.5141685225,
2011-05-03,3.36058570368206,20449332.03619052,5.13349205,34916.8084713061,
2011-05-04,3.40867304734074,20775521.35623708,4.84337805,34595.8368932475,
2011-05-05,3.34373668439509,20416354.63441376,4.67664599,39728.8910339744,
2011-05-06,3.45507558445354,21133833.58120619,4.63603126,38746.7080584672,
2011-05-07,3.64126297779077,22311656.833264053,4.80792811,39120.0911831152,
